3/23/2016 5:13:16 PM:  X:841, Y:1681, Z:0, Map:Felucca, Type Name:0x40002EAD (if it looks like a serial it's probably a loot pack)
3/23/2016 5:29:57 PM:  X:841, Y:1681, Z:0, Map:Felucca, Type Name:0x40002EAD (if it looks like a serial it's probably a loot pack)
3/23/2016 5:35:21 PM:  X:841, Y:1681, Z:0, Map:Felucca, Type Name:0x40002EAD (if it looks like a serial it's probably a loot pack)
3/23/2016 5:38:29 PM:  X:841, Y:1681, Z:0, Map:Felucca, Type Name:0x40002EAD (if it looks like a serial it's probably a loot pack)
3/23/2016 5:40:30 PM:  X:841, Y:1681, Z:0, Map:Felucca, Type Name:0x40002EAD (if it looks like a serial it's probably a loot pack)
3/23/2016 6:55:07 PM:  X:841, Y:1681, Z:0, Map:Felucca, Type Name:0x40002EAD (if it looks like a serial it's probably a loot pack)
3/23/2016 7:51:44 PM:  X:841, Y:1681, Z:0, Map:Felucca, Type Name:0x40002EAD (if it looks like a serial it's probably a loot pack)
3/23/2016 7:57:09 PM:  X:841, Y:1681, Z:0, Map:Felucca, Type Name:0x40002EAD (if it looks like a serial it's probably a loot pack)
1/5/2020 10:02:51 AM:  X:841, Y:1681, Z:0, Map:Felucca, Type Name:0x40002EAD (if it looks like a serial it's probably a loot pack)
1/5/2020 10:14:19 AM:  X:841, Y:1681, Z:0, Map:Felucca, Type Name:0x40002EAD (if it looks like a serial it's probably a loot pack)
1/5/2020 10:42:51 AM:  X:841, Y:1681, Z:0, Map:Felucca, Type Name:0x40002EAD (if it looks like a serial it's probably a loot pack)
1/5/2020 1:58:01 PM:  X:841, Y:1681, Z:0, Map:Felucca, Type Name:0x40002EAD (if it looks like a serial it's probably a loot pack)
1/5/2020 2:03:10 PM:  X:841, Y:1681, Z:0, Map:Felucca, Type Name:0x40002EAD (if it looks like a serial it's probably a loot pack)
