3/23/2016 5:19:23 PM, Adam Ant, 1397, 1359, 0, animaltrainer changed, 1 to 0
3/23/2016 5:19:23 PM, Adam Ant, 1397, 1359, 0, patrolguard changed, 0 to 1
3/23/2016 5:45:21 PM, Adam Ant, 1397, 1359, 0, patrolguard changed, 1 to 0
3/23/2016 5:45:30 PM, Adam Ant, 1397, 1359, 0, animaltrainer changed, 0 to 1
3/23/2016 5:46:26 PM, Adam Ant, 1391, 1362, 0, -null- Spawner added
3/23/2016 5:46:49 PM, Adam Ant, 1391, 1362, 0, patrolguard changed, 0 to 1
3/23/2016 6:04:12 PM, Adam Ant, 1397, 1359, 0, animaltrainer changed, 1 to 0
3/23/2016 6:04:12 PM, Adam Ant, 1397, 1359, 0, patrolguard changed, 0 to 1
3/23/2016 7:00:20 PM, Adam Ant, 1397, 1361, 0, militiaguard changed, 1 to 0
3/23/2016 7:00:29 PM, Adam Ant, 1397, 1361, 0, animaltrainer changed, 0 to 1
3/23/2016 7:08:58 PM, Adam Ant, 1397, 1361, 0, animaltrainer changed, 1 to 0
3/23/2016 7:08:58 PM, Adam Ant, 1397, 1361, 0, CouncilMember changed, 0 to 1
3/23/2016 7:17:18 PM, Adam Ant, 1397, 1361, 0, CouncilMember changed, 1 to 0
3/23/2016 7:17:18 PM, Adam Ant, 1397, 1361, 0, archerguard changed, 0 to 1
3/23/2016 7:21:16 PM, Adam Ant, 1397, 1361, 0, archerguard changed, 1 to 0
3/23/2016 7:21:16 PM, Adam Ant, 1397, 1361, 0, patrolguard changed, 0 to 1
3/23/2016 7:27:49 PM, Adam Ant, 1397, 1361, 0, patrolguard changed, 1 to 0
3/23/2016 7:27:49 PM, Adam Ant, 1397, 1361, 0, councilmember changed, 0 to 1
